combat,time,round,actor,action,target,damage,actor_PV,target_PV
20,2025-11-06T09:28:13.355,1,Jed,skill,Hussin,70,100,50
20,2025-11-06T09:28:13.355,1,Hussin,attack,Jed,27,50,73
20,2025-11-06T09:28:13.356,2,Jed,skill,Hussin,33,73,17
20,2025-11-06T09:28:13.356,2,Hussin,attack,Jed,26,17,47
20,2025-11-06T09:28:13.358,3,Jed,attack,Hussin,17,47,0
21,2025-11-06T09:28:13.359,1,Jed,skill,Hussin,33,100,87
21,2025-11-06T09:28:13.36,1,Hussin,attack,Jed,20,87,80
21,2025-11-06T09:28:13.36,2,Jed,skill,Hussin,38,80,49
21,2025-11-06T09:28:13.361,2,Hussin,skill,Jed,39,49,41
21,2025-11-06T09:28:13.361,3,Jed,attack,Hussin,19,41,30
21,2025-11-06T09:28:13.361,3,Hussin,attack,Jed,31,30,10
21,2025-11-06T09:28:13.362,4,Jed,attack,Hussin,16,10,14
21,2025-11-06T09:28:13.362,4,Hussin,skill,Jed,10,14,0
22,2025-11-06T09:28:13.363,1,Jed,skill,Hussin,37,100,83
22,2025-11-06T09:28:13.363,1,Hussin,attack,Jed,24,83,76
22,2025-11-06T09:28:13.363,2,Jed,skill,Hussin,37,76,46
22,2025-11-06T09:28:13.364,2,Hussin,attack,Jed,33,46,43
22,2025-11-06T09:28:13.364,3,Jed,attack,Hussin,13,43,33
22,2025-11-06T09:28:13.364,3,Hussin,attack,Jed,43,33,0
23,2025-11-06T09:28:13.365,1,Jed,skill,Hussin,32,100,88
23,2025-11-06T09:28:13.365,1,Hussin,attack,Jed,34,88,66
23,2025-11-06T09:28:13.365,2,Jed,skill,Hussin,34,66,54
23,2025-11-06T09:28:13.366,2,Hussin,skill,Jed,39,54,27
23,2025-11-06T09:28:13.366,3,Jed,attack,Hussin,13,27,41
23,2025-11-06T09:28:13.366,3,Hussin,attack,Jed,23,41,4
23,2025-11-06T09:28:13.367,4,Jed,attack,Hussin,14,4,27
23,2025-11-06T09:28:13.367,4,Hussin,attack,Jed,4,27,0
24,2025-11-06T09:28:13.368,1,Jed,skill,Hussin,35,100,85
24,2025-11-06T09:28:13.368,1,Hussin,attack,Jed,53,85,47
24,2025-11-06T09:28:13.37,2,Jed,skill,Hussin,35,47,50
24,2025-11-06T09:28:13.37,2,Hussin,attack,Jed,30,50,17
24,2025-11-06T09:28:13.371,3,Jed,attack,Hussin,14,17,36
